gid,nom_barrio,esquina,calle,calle2,suj-column,nro_artef,sem-artef,sem-arte_2,sem-arte_3,sem-arte_4,sem-arte_5,sem-arte_6,artef_camb,viscera,lampcambio,led,tipo led,suj-soport,de-cargado,de-bateria,de-cabl al,de_cam s_n,c-estado,lng,lat
95,NULL,95,AV. INDEPENDENCIA,AV. CHACABUCO,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.814577588343916,-27.47864162379843
97,NULL,97,AV. INDEPENDENCIA,AV. CHACABUCO,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.81453222090392,-27.478438774008108
98,NULL,98,AV. INDEPENDENCIA,REPUBLICA DOMINICANA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.81142065035632,-27.479036032606025
99,NULL,99,AV. INDEPENDENCIA,REPUBLICA DOMINICANA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.811185136959935,-27.479068899948153
100,NULL,100,AV. INDEPENDENCIA,REPUBLICA DOMINICANA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.81107664205444,-27.478958559376103
101,NULL,101,AV. INDEPENDENCIA,REPUBLICA DOMINICANA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.81147092856984,-27.478723791952266
102,NULL,102,AV. INDEPENDENCIA,REPUBLICA DOMINICANA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.811317447958096,-27.4786251894246
103,NULL,103,AV. INDEPENDENCIA,JUAN JOSE CASTELLI,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.80973236331961,-27.479242627125696
104,NULL,104,AV. INDEPENDENCIA,JUAN JOSE CASTELLI,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.809637099501664,-27.479139329736274
105,NULL,105,AV. INDEPENDENCIA,JUAN JOSE CASTELLI,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.809978461657835,-27.47891395338178
