,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,cono_de_vision,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,barreras_de_seguridad,luminosidad,luz_artificial,estado_ambiental,semaforo,tipo_involucrado
62,228607,2024-06-09,13:05:00,Urbana,Calle,RAMON CARRILLO (EX VIA),1500,GUTENBERG,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,,Apto,Mojada,Ninguna,Día,,S/D,Sin Semáforo,Motocicleta
63,233378,2024-06-09,18:00:00,Urbana,Avenida,AV MAIPU,4500,GUAYQUIRARO,-2.751.372,-5.880.745,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,,Asfalto,Día,,,Funciona,Automóvil
64,233378,2024-06-09,18:00:00,Urbana,Avenida,AV MAIPU,4500,GUAYQUIRARO,-2.751.372,-5.880.745,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,,Asfalto,Día,,,Funciona,Automóvil
65,217514,2024-06-08,13:50:00,Urbana,Calle,BOLIVAR,1100,SAN LUIS,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
66,217514,2024-06-08,13:50:00,Urbana,Calle,BOLIVAR,1100,SAN LUIS,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Motocicleta
67,224092,2024-06-08,12:30:00,Urbana,Calle,CUBA,5100,PABLO GROUSSAC,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
68,224092,2024-06-08,12:30:00,Urbana,Calle,CUBA,5100,PABLO GROUSSAC,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Motocicleta
69,220449,2024-06-08,13:45:00,Urbana,Avenida,AV PUJOL,2100,ROTONDA PONCHO VERDE,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
70,220449,2024-06-08,13:45:00,Urbana,Avenida,AV PUJOL,2100,ROTONDA PONCHO VERDE,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Motocicleta
71,222693,2024-06-08,22:15:00,Urbana,Avenida,AV ARMENIA,4600,QUINQUELA MARTIN,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Motocicleta
72,222693,2024-06-08,22:15:00,Urbana,Avenida,AV ARMENIA,4600,QUINQUELA MARTIN,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Automóvil
73,223341,2024-06-07,18:27:00,Urbana,Calle,MEDRANO,2200,ZAPIOLA,,,1,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,,Sin Semáforo,Bicicleta
74,223341,2024-06-07,18:27:00,Urbana,Calle,MEDRANO,2200,ZAPIOLA,,,1,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,,Sin Semáforo,Motocicleta
75,215403,2024-06-07,8:15:00,Urbana,Avenida,AV PEDRO FERRÉ,2900,AV CHACABUCO,,,2,0,0,2,0,Colisión entre vehículos,2,,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Automóvil
76,215403,2024-06-07,8:15:00,Urbana,Avenida,AV PEDRO FERRÉ,2900,AV CHACABUCO,,,2,0,0,2,0,Colisión entre vehículos,2,,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Camioneta/Utilitario
77,230896,2024-06-02,13:20:00,Urbana,Avenida,AV INDEPENDENCIA,3400,JUAN JOSE CASTELLI,-2.747.923,-5.880.987,1,1,0,2,0,Colisión entre vehículos,2,,Asfalto,Apto,Seca,,Día,,Despejado,Sin Semáforo,Automóvil
78,230896,2024-06-02,13:20:00,Urbana,Avenida,AV INDEPENDENCIA,3400,JUAN JOSE CASTELLI,-2.747.923,-5.880.987,1,1,0,2,0,Colisión entre vehículos,2,,Asfalto,Apto,Seca,,Día,,Despejado,Sin Semáforo,Motocicleta
79,233611,2024-06-02,12:41:00,Urbana,Avenida,AV ARMENIA,3100,AMADO BOMPLAND,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,S/D,Automóvil
80,233611,2024-06-02,12:41:00,Urbana,Avenida,AV ARMENIA,3100,AMADO BOMPLAND,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,S/D,Motocicleta
81,217517,2024-06-01,20:08:00,Urbana,Avenida,AV INDEPENDENCIA,5000,GODOY CRUZ,,,2,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Funciona,Automóvil
