,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,tipo_colision,cantidad_de_involucrados,cono_de_vision,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,barreras_de_seguridad,luminosidad,luz_artificial,estado_ambiental,semaforo,tipo_involucrado
76,184126,2023-11-04,10:48:00,Urbana,Avenida,AV ARTIGAS,2500,AV PEDRO FERRE,,,2.0,2.0,0.0,4.0,0.0,Colisión entre vehículos,Multiple,4,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Camioneta/Utilitario
77,184126,2023-11-04,10:48:00,Urbana,Avenida,AV ARTIGAS,2500,AV PEDRO FERRE,,,2.0,2.0,0.0,4.0,0.0,Colisión entre vehículos,Multiple,4,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Automóvil
78,184126,2023-11-04,10:48:00,Urbana,Avenida,AV ARTIGAS,2500,AV PEDRO FERRE,,,2.0,2.0,0.0,4.0,0.0,Colisión entre vehículos,Multiple,4,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Automóvil
79,184126,2023-11-04,10:48:00,Urbana,Avenida,AV ARTIGAS,2500,AV PEDRO FERRE,,,2.0,2.0,0.0,4.0,0.0,Colisión entre vehículos,Multiple,4,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Automóvil
80,207689,2023-11-04,09:20:00,Urbana,Avenida,AV PEDRO FERRE,2800,BOLIVIA,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,Alcance,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Camioneta/Utilitario
81,207689,2023-11-04,09:20:00,Urbana,Avenida,AV PEDRO FERRE,2800,BOLIVIA,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,Alcance,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
82,196754,2023-11-04,15:45:00,Urbana,Calle,MEXICO,800,JUNIN,,,4.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Automóvil
83,196754,2023-11-04,15:45:00,Urbana,Calle,MEXICO,800,JUNIN,,,4.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Automóvil
84,178614,2023-11-02,07:15:00,Urbana,Calle,PAMPIN,2200,GDOR  RUIZ,,,1.0,1.0,0.0,1.0,0.0,Caída desde vehículo,,1,,Asfalto,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Motocicleta
85,177781,2023-11-02,14:30:00,Urbana,Avenida,AV INDEPENDENCIA,3600,MEDRANO,,,0.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,Funciona,Motocicleta
86,177781,2023-11-02,14:30:00,Urbana,Avenida,AV INDEPENDENCIA,3600,MEDRANO,,,0.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,Funciona,Automóvil
87,201243,2023-10-30,12:00:00,Urbana,Avenida,FERRE,1850,VELEZ SARFIELD,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Automóvil
88,201243,2023-10-30,12:00:00,Urbana,Avenida,FERRE,1850,VELEZ SARFIELD,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Automóvil
89,196753,2023-10-29,09:00:00,Urbana,Avenida,FERRE,2390,,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,,Día,,Nublado,S/D,Automóvil
90,196753,2023-10-29,09:00:00,Urbana,Avenida,FERRE,2390,,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,,Día,,Nublado,S/D,Camioneta/Utilitario
91,178615,2023-10-29,11:36:00,Urbana,Avenida,RECONQUISTA,0,BROWN,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,S/D,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Automóvil
92,178615,2023-10-29,11:36:00,Urbana,Avenida,RECONQUISTA,0,BROWN,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,S/D,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Motocicleta
93,190580,2023-10-28,09:35:00,Urbana,Calle,PARAGUAY,1205,SAN MARTIN,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Alcance,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Automóvil
94,190580,2023-10-28,09:35:00,Urbana,Calle,PARAGUAY,1205,SAN MARTIN,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Alcance,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Motocicleta
