,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_colision,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo
50,105570,2021-12-09,16:46:00,Urbana,Avenida,AV LIBERTAD,RUTA 12,-2.746.139,-5.876.827,1.0,1,0.0,2,0.0,,2,Asfalto,Apto,Seca,Atardecer,,Despejado,Buena,Sin Semáforo
51,130981,2021-12-09,12:16:00,Urbana,Avenida,AV. INDEPENDENCIA,,-2.748.147,-5.879.874,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
52,98257,2021-12-09,07:00:00,Urbana,Calle,CARTAGENA,,-2.749.297,-5.880.913,2.0,0,0.0,2,0.0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
53,118303,2021-12-08,10:25:00,Urbana,Calle,LORETO,,,,1.0,1,0.0,2,0.0,Angulo,2,,Apto,,Día,NO,Despejado,Buena,Sin Semáforo
54,113320,2021-12-08,10:15:00,Urbana,Calle,San Juan,Rivadavia,,,1.0,1,0.0,2,0.0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
55,128328,2021-12-08,12:25:00,Urbana,Calle,PUJOL,,,,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
56,121658,2021-12-08,23:30:00,Urbana,Calle,CARTAGENA,RECONQUISTA,,,1.0,1,0.0,1,0.0,,1,Asfalto,Apto,,Noche,SI,,Buena,
57,98240,2021-12-08,01:01:00,Urbana,Calle,M. DDE CABRERA,SAENZ,-2.747.991,-5.879.318,1.0,0,0.0,1,0.0,,1,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo
58,108422,2021-12-07,03:01:00,Urbana,Calle,PIO XII EX MENDOZA,,,,1.0,0,0.0,1,0.0,,1,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo
59,124199,2021-12-07,00:15:00,Urbana,Avenida,AV. MAIPÚ,MADARIAGA,,,1.0,1,0.0,2,0.0,Angulo,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,
60,131005,2021-12-07,12:40:00,Urbana,Calle,BOLIVAR,RIOJA,,,4.0,0,0.0,3,0.0,Alcance,3,Hormigón,Apto,,Día,NO,Despejado,Buena,
61,93018,2021-12-07,23:10:00,Urbana,Calle,H. IRIGOYEN,PARAGUAY,-2.746.957,-5.882.674,1.0,2,0.0,2,0.0,Angulo,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo
62,95201,2021-12-06,11:55:00,Urbana,Avenida,AV SARMIENTO,REPUBLICA DEL LIBANO,-2.747.965,-5.883.046,1.0,1,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
63,118280,2021-12-06,16:45:00,Urbana,Ruta Nacional,12,,,,1.0,1,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,SI,Despejado,,Sin Semáforo
64,126984,2021-12-04,13:00:00,Urbana,Calle,SAN MARTIN,ROCA,,,0.0,1,0.0,1,0.0,,1,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
65,130984,2021-12-04,18:30:00,Urbana,Avenida,AV. FERRE,,,,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
66,96769,2021-12-04,11:15:00,Urbana,Calle,ESTADOS UNIDOS,ISRAEL,-2.747.313,-5.881.459,0.0,1,0.0,1,0.0,,1,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
67,108437,2021-12-04,09:15:00,Urbana,Ruta Nacional,12,,,,1.0,2,0.0,2,0.0,Frontal,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
68,119979,2021-12-03,09:30:00,Urbana,Avenida,,GUASTAVINO,,,2.0,0,0.0,1,1.0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
69,121705,2021-12-02,20:55:00,Urbana,Avenida,AV. MEDRANO,JARDIN BOTANICO,-2.750.020,-5.879.840,0.0,2,0.0,1,0.0,,1,Asfalto,Apto,Seca,Día,SI,Despejado,Buena,Sin Semáforo
70,98273,2021-12-02,17:14:00,Urbana,Avenida,AV. R.R.ALFONSIN,ONTIVERO,-2.747.596,-5.879.264,1.0,2,0.0,2,0.0,Alcance,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
71,114268,2021-12-02,06:20:00,Urbana,Avenida,AV.MAIPU,,,,2.0,0,0.0,2,0.0,Angulo,2,Hormigón,Apto,Despejada,Día,SI,Despejado,Buena,
