id_feu,hora,zona,tipo_via,latitud,longitud,ilesos,heridos,fallecidos,peatones,tipo_siniestro,vehiculos_involucrados,material_de_la_calzada,estado_de_la_calzada,luz_artificial,condiciones_climaticas,semaforo,anio,mes,dia,cruce,lugar_del_hecho,es_colision,tipo_siniestro_para_grafico,vehiculo
49117,13:30:00,Urbana,Avenida,-27.4686,-58.85264,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Sin Semáforo,2018,11,28,NO,AV. COSTANERA 1500,Real,Colisión entre vehículos,"Automóvil, Transporte de carga"
48846,16:40:00,Urbana,Calle,-27.49631,-58.8004,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,8,16,SI,MEDRANO y CARTAGENA,Real,Colisión entre vehículos,"Automóvil, Transporte de pasajeros"
49014,20:50:00,Urbana,Avenida,-27.46696,-58.81824,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,SI,Despejado,Funciona,2018,10,14,SI,AVENIDA GOBERNADOR RUIZ y COCOMAROLA,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
49179,12:10:00,Urbana,Calle,-27.47087,-58.83708,3.0,0.0,0.0,0.0,Colisión entre vehículos,3,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,12,20,SI,SAN JUAN y BOLIVAR,Real,Colisión entre vehículos,"Automóvil, Automóvil, Automóvil"
48995,17:00:00,Rural,Ruta Nacional,-27.48463,-58.78147,0.0,2.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,10,10,NO,12 1030,Real,Colisión entre vehículos,"Motocicleta, Bicicleta"
49012,23:20:00,Urbana,Avenida,-27.47454,-58.81919,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,SI,Despejado,Sin Semáforo,2018,10,13,NO,ARTIGAS 1700,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
49042,14:35:00,Urbana,Avenida,-27.48062,-58.8151,0.0,1.0,0.0,0.0,Caída desde vehículo,1,Asfalto,Apto,NO,Despejado,Funciona,2018,10,25,SI,AV CHACABUCO y GRAL PAZ,Real,Caída desde vehículo,Motocicleta
48989,18:05:00,Urbana,Avenida,-27.48625,-58.82338,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Nublado,Sin Semáforo,2018,10,1,SI,AVENIDA MAIPU y MADARIAGA,Real,Colisión entre vehículos,"Motocicleta, Camioneta/Utilitario"
49084,16:50:00,Urbana,Calle,-27.48009,-58.83184,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Sin Semáforo,2018,11,12,SI,GUTEMBERG y NECOCHEA,Real,Colisión entre vehículos,"Automóvil, Automóvil"
48937,00:22:00,Urbana,Calle,-27.46969,-58.82674,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,SI,Despejado,Sin Semáforo,2018,9,18,SI,PARAGUAY y HIPOLITO IRIGOYEN,Real,Colisión entre vehículos,"Motocicleta, Automóvil"
