,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo,tipo_involucrado
295,49615,2019-09-27,23:40:00,Urbana,Calle,GUTEMBERG,1700,GRAL PAZ,-2.747.894,-5.883.170,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,SI,Despejado,,Sin Semáforo,Motocicleta
296,68433,2019-09-27,13:00:00,Urbana,Avenida,Plumerillo,1700,,-2.747.887,-5.882.933,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,,NO,Despejado,Buena,Sin Semáforo,Automóvil
297,68433,2019-09-27,13:00:00,Urbana,Avenida,Plumerillo,1700,,-2.747.887,-5.882.933,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,,NO,Despejado,Buena,Sin Semáforo,Automóvil
298,49214,2019-09-27,10:15:00,Urbana,Calle,AYACUCHO,2340,,-2.747.015,-5.882.118,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo,Motocicleta
299,49214,2019-09-27,10:15:00,Urbana,Calle,AYACUCHO,2340,,-2.747.015,-5.882.118,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo,Camioneta/Utilitario
300,53854,2019-09-26,19:00:00,Urbana,Avenida,AV PEDRO FERRE,2000,,-2.747.714,-5.882.629,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,,Noche,SI,Despejado,Buena,Sin Semáforo,Automóvil
301,53854,2019-09-26,19:00:00,Urbana,Avenida,AV PEDRO FERRE,2000,,-2.747.714,-5.882.629,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,,Noche,SI,Despejado,Buena,Sin Semáforo,Transporte de carga
302,53852,2019-09-26,20:15:00,Urbana,Calle,MEDRANO,1100,ESTADO DE ISRAEL,-2.747.606,-5.879.737,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Noche,,Lluvia,Lluvia,Sin Semáforo,Motocicleta
303,53852,2019-09-26,20:15:00,Urbana,Calle,MEDRANO,1100,ESTADO DE ISRAEL,-2.747.606,-5.879.737,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Noche,,Lluvia,Lluvia,Sin Semáforo,Camioneta/Utilitario
304,62898,2019-09-24,14:30:00,Urbana,Calle,JUJUY,1101,SAN MARTIN,-2.747.063,-5.882.817,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,,Seca,Día,NO,Nublado,Buena,Sin Semáforo,Automóvil
305,62898,2019-09-24,14:30:00,Urbana,Calle,JUJUY,1101,SAN MARTIN,-2.747.063,-5.882.817,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,,Seca,Día,NO,Nublado,Buena,Sin Semáforo,Camioneta/Utilitario
306,49232,2019-09-23,18:30:00,Urbana,Calle,ALMIRANTE BROWN,2700,COLOMBIA,-2.747.399,-5.881.747,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,,Despejado,Buena,Sin Semáforo,Automóvil
307,49232,2019-09-23,18:30:00,Urbana,Calle,ALMIRANTE BROWN,2700,COLOMBIA,-2.747.399,-5.881.747,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,,Despejado,Buena,Sin Semáforo,Automóvil
308,64839,2019-09-22,13:20:00,Urbana,Calle,25 DE mayo,1630,SANTA FE,-2.746.498,-5.882.964,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
309,64839,2019-09-22,13:20:00,Urbana,Calle,25 DE mayo,1630,SANTA FE,-2.746.498,-5.882.964,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
310,49481,2019-09-21,19:35:00,Urbana,Calle,MENDOZA,2200,LAMADRID,-2.748.181,-5.883.728,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Atardecer,SI,Lluvia,,Sin Semáforo,Transporte de carga
311,49481,2019-09-21,19:35:00,Urbana,Calle,MENDOZA,2200,LAMADRID,-2.748.181,-5.883.728,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Atardecer,SI,Lluvia,,Sin Semáforo,Motocicleta
312,49302,2019-09-21,14:35:00,Urbana,Avenida,RAUL ALFONSIN,4200,LAS PIEDRAS,-2.747.458,-5.879.948,2,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
313,49302,2019-09-21,14:35:00,Urbana,Avenida,RAUL ALFONSIN,4200,LAS PIEDRAS,-2.747.458,-5.879.948,2,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
314,49548,2019-09-20,20:30:00,Urbana,Avenida,MAIPU,KILOMETRO 6,,-2.751.432,-5.880.672,1,2,0,3,0,Colisión entre vehículos,3,Asfalto,Apto,Despejada,Noche,SI,Lluvia,Lluvia,Sin Semáforo,Motocicleta
315,49548,2019-09-20,20:30:00,Urbana,Avenida,MAIPU,KILOMETRO 6,,-2.751.432,-5.880.672,1,2,0,3,0,Colisión entre vehículos,3,Asfalto,Apto,Despejada,Noche,SI,Lluvia,Lluvia,Sin Semáforo,Automóvil
316,49548,2019-09-20,20:30:00,Urbana,Avenida,MAIPU,KILOMETRO 6,,-2.751.432,-5.880.672,1,2,0,3,0,Colisión entre vehículos,3,Asfalto,Apto,Despejada,Noche,SI,Lluvia,Lluvia,Sin Semáforo,Motocicleta
317,49378,2019-09-20,09:45:00,Urbana,Calle,ESPAÑA,1700,BOLIVAR,-2.747.166,-5.882.963,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
318,49378,2019-09-20,09:45:00,Urbana,Calle,ESPAÑA,1700,BOLIVAR,-2.747.166,-5.882.963,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
319,49422,2019-09-20,05:40:00,Urbana,Avenida,AVENIDA CENTENARIO,3800,TACUARI,-2.747.298,-5.880.531,0,3,0,1,0,Caída desde vehículo,1,Asfalto,Apto,Seca,Amanecer,SI,Despejado,Buena,Funciona,Motocicleta
320,49437,2019-09-20,14:25:00,Urbana,Avenida,RAFAELA,2000,ESTRADA,-2.749.632,-5.883.241,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
321,49437,2019-09-20,14:25:00,Urbana,Avenida,RAFAELA,2000,ESTRADA,-2.749.632,-5.883.241,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
322,53679,2019-09-20,06:00:00,Urbana,Calle,MISIONES,2798,LAS HERAS,-2.748.279,-5.881.805,0,2,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Amanecer,SI,Nublado,Buena,Sin Semáforo,Automóvil
323,53679,2019-09-20,06:00:00,Urbana,Calle,MISIONES,2798,LAS HERAS,-2.748.279,-5.881.805,0,2,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Amanecer,SI,Nublado,Buena,Sin Semáforo,Automóvil
324,49508,2019-09-18,01:15:00,Urbana,Avenida,AV IV CENTENARIO,3100,MAGALLANES,-2.749.259,-5.883.807,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Mojada,Noche,SI,Lluvia,Lluvia,Sin Semáforo,Automóvil
325,49508,2019-09-18,01:15:00,Urbana,Avenida,AV IV CENTENARIO,3100,MAGALLANES,-2.749.259,-5.883.807,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Mojada,Noche,SI,Lluvia,Lluvia,Sin Semáforo,Motocicleta
326,62910,2019-09-17,19:20:00,Urbana,Avenida,INDEPENDENCIA,3020,RECONQUISTA,-2.747.862,-5.881.346,1,1,0,1,1,Atropello a peatón/es,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
327,62910,2019-09-17,19:20:00,Urbana,Avenida,INDEPENDENCIA,3020,RECONQUISTA,-2.747.862,-5.881.346,1,1,0,1,1,Atropello a peatón/es,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Peatón
