,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_colision,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo,tipo_involucrado
177,72457,2020-10-21,17:20:00,Urbana,Calle,SAN MARTIN,1200,MENDOZA,-2.746.990,-5.883.584,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo,Motocicleta
178,81281,2020-10-20,18:00:00,Urbana,Calle,TENIENTE CUNDON,1500,GOBERNADOR VELAZCO,-2.748.640,-5.883.425,4,0,0,2,0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Camioneta/Utilitario
179,81281,2020-10-20,18:00:00,Urbana,Calle,TENIENTE CUNDON,1500,GOBERNADOR VELAZCO,-2.748.640,-5.883.425,4,0,0,2,0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
180,74181,2020-10-20,12:10:00,Urbana,Calle,PARAGUAY,1200,BOLIVAR,-2.747.189,-5.882.698,2,0,0,2,0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
181,74181,2020-10-20,12:10:00,Urbana,Calle,PARAGUAY,1200,BOLIVAR,-2.747.189,-5.882.698,2,0,0,2,0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
182,74020,2020-10-20,23:35:00,Urbana,Calle,PLACIDO MARTINEZ,400,SA JUAN,-2.746.197,-5.883.633,2,0,0,2,0,,2,Asfalto,Apto,Seca,Noche,NO,Despejado,Buena,Sin Semáforo,Automóvil
183,74020,2020-10-20,23:35:00,Urbana,Calle,PLACIDO MARTINEZ,400,SA JUAN,-2.746.197,-5.883.633,2,0,0,2,0,,2,Asfalto,Apto,Seca,Noche,NO,Despejado,Buena,Sin Semáforo,Motocicleta
184,72422,2020-10-18,10:05:00,Urbana,Avenida,AV.FERRE,1500,CHACABUCO,-2.747.850,-5.881.458,2,0,0,2,0,Angulo,2,Asfalto,Apto,Despejada,Día,NO,Despejado,Buena,Funciona,Automóvil
185,72422,2020-10-18,10:05:00,Urbana,Avenida,AV.FERRE,1500,CHACABUCO,-2.747.850,-5.881.458,2,0,0,2,0,Angulo,2,Asfalto,Apto,Despejada,Día,NO,Despejado,Buena,Funciona,Automóvil
186,79284,2020-10-17,17:40:00,Urbana,Avenida,AV LAPRIDA,800,LA FERRERE,-2.747.077,-5.878.768,2,1,0,2,0,,2,Hormigón,Apto,,Atardecer,NO,Despejado,Buena,Sin Semáforo,Transporte de carga
187,79284,2020-10-17,17:40:00,Urbana,Avenida,AV LAPRIDA,800,LA FERRERE,-2.747.077,-5.878.768,2,1,0,2,0,,2,Hormigón,Apto,,Atardecer,NO,Despejado,Buena,Sin Semáforo,Motocicleta
188,91662,2020-10-16,09:40:00,Urbana,Avenida,AV FERRE,2700,CHILE,,,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
189,91662,2020-10-16,09:40:00,Urbana,Avenida,AV FERRE,2700,CHILE,,,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
190,84257,2020-10-16,23:30:00,Urbana,Avenida,AV MAIPU,6000,RUTA 12,-2.752.620,-5.876.480,0,1,0,1,0,,1,Asfalto,Apto,Seca,Noche,NO,Despejado,Buena,Sin Semáforo,Motocicleta
191,84408,2020-10-15,14:40:00,Urbana,Calle,SAMUEL MORSE,910,,-2.747.116,-5.879.612,0,1,0,1,0,,1,Hormigón,Apto,Seca,Día,SI,Despejado,Buena,Sin Semáforo,Motocicleta
192,72269,2020-10-15,11:00:00,Urbana,Avenida,Av. Independencia,4200,GASCON,-2.748.239,-5.879.677,2,0,0,2,0,Alcance,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Transporte de carga
193,72269,2020-10-15,11:00:00,Urbana,Avenida,Av. Independencia,4200,GASCON,-2.748.239,-5.879.677,2,0,0,2,0,Alcance,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Transporte de carga
194,84412,2020-10-15,14:15:00,Urbana,Calle,SAN LORENZO,1400,RIVADAVIA,-2.747.477,-5.883.255,2,0,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Transporte de carga
195,84412,2020-10-15,14:15:00,Urbana,Calle,SAN LORENZO,1400,RIVADAVIA,-2.747.477,-5.883.255,2,0,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
196,84589,2020-10-14,22:15:00,Urbana,Avenida,AV CHACABUCO,2200,MADARIAGA,-2.748.528,-5.881.595,1,2,0,2,0,,2,Hormigón,Apto,Despejada,Noche,SI,Despejado,,Sin Semáforo,Automóvil
197,84589,2020-10-14,22:15:00,Urbana,Avenida,AV CHACABUCO,2200,MADARIAGA,-2.748.528,-5.881.595,1,2,0,2,0,,2,Hormigón,Apto,Despejada,Noche,SI,Despejado,,Sin Semáforo,Motocicleta
198,85774,2020-10-13,11:55:00,Urbana,Avenida,AV INDEPENDENCIA,4020,,-2.748.004,-5.880.327,2,0,0,2,0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,,Sin Semáforo,Automóvil
199,85774,2020-10-13,11:55:00,Urbana,Avenida,AV INDEPENDENCIA,4020,,-2.748.004,-5.880.327,2,0,0,2,0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,,Sin Semáforo,Automóvil
200,85000,2020-10-11,17:00:00,Urbana,Avenida,AV 3 DE ABRIL,1100,CATAMARCA,,,1,1,0,2,0,Angulo,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Automóvil
201,85000,2020-10-11,17:00:00,Urbana,Avenida,AV 3 DE ABRIL,1100,CATAMARCA,,,1,1,0,2,0,Angulo,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Motocicleta
202,76028,2020-10-11,07:00:00,Urbana,Avenida,AV. PAYSANDU,3800,RAFAELA,-2.749.751,-5.882.537,0,1,0,1,0,,1,Asfalto,Apto,Seca,Amanecer,SI,Despejado,Buena,Sin Semáforo,Motocicleta
203,88053,2020-10-10,12:50:00,Urbana,Calle,CATAMARCA,1200,BOLIVAR,-2.747.122,-5.883.344,1,1,0,2,0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
204,88053,2020-10-10,12:50:00,Urbana,Calle,CATAMARCA,1200,BOLIVAR,-2.747.122,-5.883.344,1,1,0,2,0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
205,79470,2020-10-10,12:57:00,Urbana,Avenida,AV MAIPU,2300,,-2.749.700,-5.881.609,3,0,0,2,0,Angulo,2,,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
206,79470,2020-10-10,12:57:00,Urbana,Avenida,AV MAIPU,2300,,-2.749.700,-5.881.609,3,0,0,2,0,Angulo,2,,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Transporte de carga
207,75476,2020-10-10,06:15:00,Urbana,Avenida,AV ARMENIA,3050,AMADO BOMPLAN,-2.746.721,-5.880.982,1,1,0,2,0,,2,Asfalto,Apto,Mojada,Amanecer,SI,Lluvia,Buena,Sin Semáforo,Bicicleta
208,75476,2020-10-10,06:15:00,Urbana,Avenida,AV ARMENIA,3050,AMADO BOMPLAN,-2.746.721,-5.880.982,1,1,0,2,0,,2,Asfalto,Apto,Mojada,Amanecer,SI,Lluvia,Buena,Sin Semáforo,Motocicleta
209,86577,2020-10-10,13:30:00,Urbana,Avenida,AV CHACABUCO,2206,MADARIAGA,-2.748.511,-5.881.589,1,1,0,2,0,Alcance,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
210,86577,2020-10-10,13:30:00,Urbana,Avenida,AV CHACABUCO,2206,MADARIAGA,-2.748.511,-5.881.589,1,1,0,2,0,Alcance,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Bicicleta
211,77242,2020-10-10,12:33:00,Urbana,Avenida,AV MAIPU,3200,CUEVAS,-2.750.653,-5.881.083,1,1,0,2,0,Alcance,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
212,77242,2020-10-10,12:33:00,Urbana,Avenida,AV MAIPU,3200,CUEVAS,-2.750.653,-5.881.083,1,1,0,2,0,Alcance,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
213,71483,2020-10-10,10:15:00,Urbana,Avenida,FERRE,2900,,-2.747.846,-5.881.548,2,1,0,2,0,Lateral,2,Hormigón,Apto,Despejada,Día,NO,Despejado,,Funciona,Automóvil
214,71483,2020-10-10,10:15:00,Urbana,Avenida,FERRE,2900,,-2.747.846,-5.881.548,2,1,0,2,0,Lateral,2,Hormigón,Apto,Despejada,Día,NO,Despejado,,Funciona,Motocicleta
215,74182,2020-10-10,06:00:00,Urbana,Avenida,AV FERRE,3000,AV CHACABUCO,-2.747.850,-5.881.475,2,0,0,2,0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Automóvil
216,74182,2020-10-10,06:00:00,Urbana,Avenida,AV FERRE,3000,AV CHACABUCO,-2.747.850,-5.881.475,2,0,0,2,0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Transporte de pasajeros
217,76289,2020-10-09,10:55:00,Urbana,Calle,ESPAÑA,1400,MORENO,-2.747.387,-5.882.984,3,0,0,3,0,Alcance,3,Asfalto,,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
218,76289,2020-10-09,10:55:00,Urbana,Calle,ESPAÑA,1400,MORENO,-2.747.387,-5.882.984,3,0,0,3,0,Alcance,3,Asfalto,,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
219,76289,2020-10-09,10:55:00,Urbana,Calle,ESPAÑA,1400,MORENO,-2.747.387,-5.882.984,3,0,0,3,0,Alcance,3,Asfalto,,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
220,74779,2020-10-09,08:45:00,Urbana,Avenida,AV MEDRANO,24001,OMBU,-2.749.000,-5.879.970,1,1,0,2,0,Angulo,2,Hormigón,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo,Motocicleta
