,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo
212,48890,2018-09-03,13:00:00,Urbana,Calle,AV TENIENTE IBAÑEZ,LISANDRO SEGOVIA,-2.748.558,-5.883.642,2,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,"Despejada, Seca",Día,NO,Nublado,Buena,Sin Semáforo
213,48977,2018-09-29,21:00:00,Urbana,Calle,CESAR ALVAREZ,MIRTA BLANCO,-2.748.934,-5.877.114,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo
214,49036,2018-10-26,12:40:00,Urbana,Avenida,AVENIDA LAPRIDA,LA FERRERE,-2.747.081,-5.878.771,1,2,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Mojada,Día,NO,Nublado,Buena,Sin Semáforo
215,49148,2018-12-07,13:35:00,Urbana,Calle,ELIAS ABAD,LAMADRID,,,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
216,48820,2018-08-07,19:30:00,Urbana,Avenida,Av Presidente Juan D Perón,Sanchez de Bustamante,-2.748.931,-5.878.973,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Despejada,Noche,SI,Despejado,,Intermitente
217,48973,2018-09-26,16:30:00,Urbana,Calle,LAMADRID,ELIAS ABAD,-2.748.025,-5.884.900,4,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
218,49020,2018-10-18,00:06:00,Urbana,Calle,LISANDRO SEGOVIA,PERUGORRIA,-2.748.428,-5.883.634,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo
219,49166,2018-12-14,07:30:00,Urbana,Avenida,AV PAISANDU,AV IBERA,-2.749.935,-5.882.565,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,"Despejada, Seca",Día,,Despejado,Buena,Funciona
220,49195,2018-12-29,10:50:00,Urbana,Avenida,MAIPU,ACONCAGUA,-2.749.826,-5.881.522,1,1,0,1,1,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,,,Buena,Funciona
221,49097,2018-11-18,23:30:00,Urbana,Avenida,AV ARMENIA,,-2.746.766,-5.879.369,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo
222,48866,2018-08-25,05:10:00,Urbana,Avenida,AVENIDA INDEPENDENCIA,SANTA MARIA DE ORO,-2.748.381,-5.878.834,0,1,0,1,0,Despiste,1,Asfalto,Apto,Mojada,Amanecer,NO,Despejado,Buena,Sin Semáforo
223,48958,2018-09-24,11:20:00,Urbana,Avenida,AVENIDA TENIENTE IBAÑEZ,CORDOBA,-2.748.547,-5.883.642,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,,Día,NO,Nublado,Buena,Sin Semáforo
224,48826,2018-08-15,08:12:00,Urbana,Avenida,AV. Raul Alfonsin,Pomar,-2.747.271,-5.880.624,2,1,0,3,0,Colisión entre vehículos,3,Asfalto,Apto,,Día,NO,Despejado,Buena,Funciona
225,49010,2018-10-12,11:25:00,Urbana,Calle,BOLIVAR,URUGUAY,-2.747.190,-5.882.539,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,,Día,NO,Nublado,Buena,Sin Semáforo
226,48931,2018-09-14,07:45:00,Urbana,Calle,MENDOZA,TTE. IBAÑEZ,-2.748.551,-5.883.788,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,,,,NO,Despejado,Buena,Sin Semáforo
227,48981,2018-09-30,07:00:00,Urbana,Avenida,AVENIDA PAISANDU,GUALEGUAY,-2.749.379,-5.882.465,1,0,0,1,0,Colisión entre vehículos,1,Asfalto,Apto,Mojada,,NO,Despejado,Buena,
228,48916,2018-09-08,19:00:00,Urbana,Avenida,AVENIDA MAIPU,VALPARAISO,-2.749.722,-5.881.587,2,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,,Noche,SI,Despejado,Buena,Sin Semáforo
229,49015,2018-10-14,10:40:00,Urbana,Avenida,AVENIDA FERRE,,-2.747.739,-5.882.368,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,,Día,NO,Despejado,Buena,Funciona
