,lat,lng
229,-27.489341381124635,-58.78951012951477
230,-27.48973105667684,-58.78605284580265
231,-27.489945847464277,-58.78591656553236
232,-27.489907114539506,-58.78493217250183
233,-27.49010899412381,-58.78495995774124
234,-27.489943499797544,-58.78470856708496
235,-27.490138337016276,-58.784754875851
236,-27.490411972714075,-58.779779629634575
237,-27.49051906894212,-58.77972825983208
238,-27.49026372817864,-58.77964242270482
239,-27.477196180528274,-58.83026850283932
240,-27.47736991090882,-58.830133545687445
241,-27.477745543278356,-58.83010972963714
242,-27.47927191507436,-58.82890652693143
243,-27.479154153010967,-58.82872311114725
244,-27.479346661664376,-58.82882631359747
245,-27.483156854212517,-58.82579639324949
246,-27.482987828084024,-58.825679959704416
247,-27.4843517673042,-58.82485698562757
248,-27.483999633117225,-58.8248940327615
249,-27.486470417283424,-58.82315679015338
250,-27.486327218916557,-58.82305888012712
251,-27.49112602218092,-58.81991384906765
252,-27.49124104535277,-58.81985298602968
253,-27.491161233325823,-58.81966907390817
254,-27.491955829501716,-58.81941635991394
255,-27.491899491965608,-58.8192522944207
256,-27.494231605578797,-58.81793183115735
257,-27.494081375252417,-58.817820690043526
258,-27.49881235718974,-58.81480598523018
259,-27.49867856386948,-58.814635965765305
260,-27.498922091021736,-58.8147252755596
261,-27.498872564973468,-58.8145083466646
262,-27.507772028842805,-58.81061569712919
263,-27.5075452269548,-58.81043930301859
264,-27.51371216402857,-58.80736310292173
265,-27.51358452172204,-58.80719120644597
266,-27.49443523940253,-58.826712643487504
267,-27.494363645383157,-58.826462575917816
268,-27.492287399869344,-58.826059028191565
269,-27.492249841703767,-58.826347465946135
270,-27.492055008214518,-58.82626543323933
271,-27.492106650813877,-58.82604579714548
272,-27.49052332432384,-58.83104847236859
273,-27.49063834814261,-58.83107890384637
274,-27.490725202788997,-58.83113182818264
275,-27.490502197509358,-58.83116093663224
276,-27.490692338932647,-58.831405711737936
277,-27.49074985074228,-58.83128133948525
278,-27.484807193682283,-58.83095056367339
279,-27.48466868826976,-58.83093336329044
280,-27.48329066730876,-58.83077988298421
281,-27.483188547555752,-58.83094394851531
282,-27.484503186108316,-58.83247743144562
283,-27.485306046771687,-58.8325541715715
284,-27.48525205336416,-58.83235041280992
285,-27.485468027712557,-58.837780451787125
286,-27.485252054397016,-58.83778574427445
287,-27.485268487453983,-58.839309965752335
288,-27.485047818675405,-58.83938670612274
289,-27.48450553614412,-58.84553122410127
290,-27.484442152196983,-58.845721751801655
291,-27.467145724604386,-58.80837808057563
292,-27.4692023240279,-58.82917232257393
293,-27.48790235835586,-58.79521196701834
294,-27.46284174554239,-58.8376148185237
295,-27.462835657639783,-58.827072965376544
296,-27.49324124912161,-58.837976052967946
297,-27.489035031713243,-58.83804115419132
298,-27.46813888750578,-58.79613192962271
299,-27.46029684631083,-58.7755960165464
300,-27.46152850736536,-58.78653862408215
301,-27.46400316624465,-58.837628375000605
302,-27.482950863151245,-58.81547788171554
303,-27.46165164868399,-58.837393564443055
304,-27.47583188246205,-58.83378904019161
305,-27.476241898611875,-58.83371105226715
306,-27.46592001412313,-58.830319567139085
307,-27.466957022540765,-58.830283310565086
308,-27.46297759007924,-58.82717864381558
309,-27.46273185785677,-58.82722381180609
310,-27.462713218986394,-58.82718222303587
311,-27.468627119363003,-58.836786114307664
312,-27.462897441183006,-58.82692235002249
313,-27.461740696446935,-58.83736484954306
314,-27.468845458565127,-58.83444278127774
315,-27.468809881627337,-58.83327096360559
316,-27.46918078744076,-58.83179374702007
317,-27.469317639745785,-58.830484739815454
318,-27.466485657555005,-58.83654210322336
319,-27.466446775762403,-58.83535076100813
320,-27.466255551061007,-58.83785886907291
321,-27.46663125217712,-58.83414521567631
322,-27.466636367563357,-58.832816573491804
323,-27.46691704025301,-58.83157190061397
324,-27.4991977784976,-58.82571628700408
325,-27.499552164224905,-58.82580971544926
326,-27.499418376772432,-58.8255662170886
327,-27.499213169049767,-58.825588805258384
328,-27.47806172641804,-58.78321989262327
329,-27.47806605070157,-58.78324365179782
330,-27.478231413504147,-58.78300133826129
331,-27.47821719939248,-58.78325899576665
332,-27.478255209932176,-58.78314586052226
333,-27.49479946001065,-58.81760989558277
334,-27.494650200714645,-58.817383104669815
335,-27.468283164122024,-58.79600232123051
336,-27.487863789931072,-58.7954191864081
337,-27.488119221650187,-58.7954325447664
338,-27.48815303663113,-58.79519103608898
339,-27.47038252759557,-58.83080633374416
340,-27.474916273938536,-58.831328115798144
341,-27.473784804769288,-58.831019993749386
342,-27.472683679470624,-58.83108465849311
343,-27.471376300221493,-58.830721454148815
344,-27.468169443024838,-58.83053012439286
345,-27.468034957346752,-58.831818529926
346,-27.468410190238554,-58.83808523023
347,-27.46737954285605,-58.83808617152089
348,-27.46759181838204,-58.8367645848653
349,-27.467824646864567,-58.83443134968714
350,-27.48230254792714,-58.82648225067362
351,-27.467820212262502,-58.83310202014847
352,-27.521848416591325,-58.79969337071655
353,-27.485924384203425,-58.77061511978047
354,-27.48598847940989,-58.77062196600968
355,-27.49829676976006,-58.81515325842993
356,-27.47179617765971,-58.832134830447984
357,-27.48041793409192,-58.81519059195717
358,-27.460448737052428,-58.77542926838625
359,-27.472091123359448,-58.80818293058231
360,-27.47228083924721,-58.80823416328579
361,-27.48068023902201,-58.81524276884731
362,-27.471597707502596,-58.81876637302077
363,-27.47152794135844,-58.81857887227596
364,-27.475471596181556,-58.813787800076106
365,-27.475571366351684,-58.814024852129975
366,-27.47504391609475,-58.81923500363043
367,-27.474873960925223,-58.8192070836816
368,-27.475024367251415,-58.81943144302574
369,-27.475556694955426,-58.8138099104802
370,-27.471643831894305,-58.81859947406181
371,-27.490432514151816,-58.77976873063135
372,-27.47228942795848,-58.80745546681435
373,-27.47244674600796,-58.80759442369707
374,-27.472718439349645,-58.80640448458865
375,-27.47253715808769,-58.806430331922975
376,-27.4721418978996,-58.80800835588264
377,-27.47511149803795,-58.79676237326911
378,-27.47518123362808,-58.7968633107317
379,-27.476467381323,-58.78880722142683
380,-27.476646054918213,-58.78871440397722
381,-27.47651204029386,-58.788449703222646
382,-27.476001543130725,-58.83387194239252
383,-27.478527603310297,-58.81453301629733
384,-27.467602310856545,-58.83561535458926
385,,
386,,
